ufn,spp,date,site.id,survey.id,seine.id,cal.cop,lep.cop,unid.cop,chal.a,chal.b,chal.unid,cal.m,cal.paf,cal.af,cal.mot.unid.notgf,cal.mot.notgf,cal.gf,lep.pam,lep.paf,lep.am,lep.af,lep.gf,lep.mot.unid.notgf,comments,licing.protocol,weight,length.lab,length.field,all.cal,all.leps,site.region,week,year
U418,SO,05/13/15,D02,DE101,DN201,0,0,NA,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,12.9,98,NA,0,0,D,20,2015
U419,SO,05/13/15,D02,DE101,DN201,0,0,NA,6,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,12.5,97,NA,0,0,D,20,2015
U322,SO,05/13/15,D02,DE101,DN201,0,0,NA,5,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,9.8,95,NA,0,0,D,20,2015
U426,SO,05/13/15,D02,DE101,DN201,0,0,NA,2,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,11.8,93,NA,0,0,D,20,2015
U323,SO,05/13/15,D02,DE101,DN201,0,0,NA,5,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,11.4,103,NA,0,0,D,20,2015
U417,SO,05/13/15,D02,DE101,DN201,0,0,NA,3,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,13,101,NA,0,0,D,20,2015
U425,SO,05/13/15,D02,DE101,DN201,0,0,NA,2,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,13.4,101,NA,0,0,D,20,2015
U420,SO,05/13/15,D02,DE101,DN201,0,0,NA,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,13.2,96,NA,0,0,D,20,2015
U324,SO,05/13/15,D02,DE101,DN201,0,0,NA,6,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,12.8,105,NA,0,0,D,20,2015
U431,SO,05/13/15,D02,DE101,DN201,1,0,NA,2,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,10.9,92,NA,0,0,D,20,2015
U385,SO,05/14/15,D04,DE102,DN202,0,0,NA,6,1,NA,0,1,0,0,1,0,0,0,0,0,0,0,NA,lab_finescale,16.2,99,NA,1,0,D,20,2015
U384,SO,05/14/15,D04,DE102,DN202,2,0,NA,3,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,14.6,103,NA,0,0,D,20,2015
U391,SO,05/14/15,D04,DE102,DN202,0,0,NA,4,6,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,21.8,123,NA,0,0,D,20,2015
U386,SO,05/14/15,D04,DE102,DN202,0,0,NA,5,4,NA,0,1,0,0,1,0,0,0,0,0,0,0,NA,lab_finescale,25.3,126,NA,1,0,D,20,2015
U392,SO,05/14/15,D04,DE102,DN202,1,0,NA,8,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,22.8,121,NA,0,0,D,20,2015
U395,SO,05/14/15,D04,DE102,DN202,0,0,NA,2,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,16.8,115,NA,0,0,D,20,2015
U388,SO,05/14/15,D04,DE102,DN202,0,0,NA,3,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,18.7,104,NA,0,0,D,20,2015
U389,SO,05/14/15,D04,DE102,DN202,1,0,NA,4,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,15.2,103,NA,0,0,D,20,2015
U387,SO,05/14/15,D04,DE102,DN202,0,0,NA,2,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,14.5,107,NA,0,0,D,20,2015
U393,SO,05/14/15,D04,DE102,DN202,0,0,NA,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,16.8,115,NA,0,0,D,20,2015
U367,SO,05/15/15,D02,DE104,DN204,0,0,NA,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,6.8,81,NA,0,0,D,20,2015
U364,SO,05/15/15,D02,DE104,DN204,0,0,NA,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,5.9,80,NA,0,0,D,20,2015
U373,SO,05/15/15,D02,DE104,DN204,2,0,NA,2,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,9.8,92,NA,0,0,D,20,2015
U359,SO,05/15/15,D02,DE104,DN204,1,0,NA,1,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,9.6,97,NA,0,0,D,20,2015
U371,SO,05/15/15,D02,DE104,DN204,0,0,NA,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,7.1,85,NA,0,0,D,20,2015
U358,SO,05/15/15,D02,DE104,DN204,1,0,NA,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,10.2,100,NA,0,0,D,20,2015
U366,SO,05/15/15,D02,DE104,DN204,1,0,NA,3,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,8.8,91,NA,0,0,D,20,2015
U372,SO,05/15/15,D02,DE104,DN204,0,0,NA,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,7.6,91,NA,0,0,D,20,2015
U360,SO,05/15/15,D02,DE104,DN204,0,0,NA,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,6.9,88,NA,0,0,D,20,2015
U374,SO,05/15/15,D02,DE104,DN204,1,0,NA,5,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,7.4,85,NA,0,0,D,20,2015
U365,SO,05/15/15,D02,DE104,DN204,0,0,NA,4,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,8.5,85,NA,0,0,D,20,2015
U268,SO,05/15/15,D03,DE105,DN205,2,0,NA,3,5,NA,0,0,0,1,1,0,0,0,0,0,0,0,Cal mot UNID missing posterior end,lab_finescale,10.8,95,NA,1,0,D,20,2015
U269,SO,05/15/15,D03,DE105,DN205,4,0,NA,1,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,10.1,104,NA,0,0,D,20,2015
U291,SO,05/15/15,D03,DE105,DN205,0,0,NA,6,0,NA,0,0,0,1,1,0,0,0,0,0,0,0,Cal mot UNID missing posterior end,lab_finescale,11.3,100,NA,1,0,D,20,2015
U278,SO,05/15/15,D03,DE105,DN205,1,0,NA,6,8,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,13.3,106,NA,0,0,D,20,2015
U270,SO,05/15/15,D03,DE105,DN205,0,0,NA,3,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,9.9,96,NA,0,0,D,20,2015
U279,SO,05/15/15,D03,DE105,DN205,0,0,NA,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,12,97,NA,0,0,D,20,2015
U290,SO,05/15/15,D03,DE105,DN205,1,0,NA,5,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,NA,104,NA,0,0,D,20,2015
U280,SO,05/15/15,D03,DE105,DN205,1,0,NA,1,1,NA,1,1,0,0,2,0,0,0,0,0,0,0,NA,lab_finescale,19.5,120,NA,2,0,D,20,2015
U1060,SO,05/15/15,D03,DE105,DN205,1,0,NA,5,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,19.9,125,NA,0,0,D,20,2015
U1082,SO,05/15/15,D03,DE105,DN205,0,0,NA,6,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,13.6,110,NA,0,0,D,20,2015
U99,SO,05/15/15,D05,DE103,DN203,1,0,NA,3,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,7.3,88,NA,0,0,D,20,2015
U214,SO,05/15/15,D05,DE103,DN203,1,0,NA,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,7.6,87,NA,0,0,D,20,2015
U231,SO,05/15/15,D05,DE103,DN203,0,0,NA,2,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,10.7,96,NA,0,0,D,20,2015
U208,SO,05/15/15,D05,DE103,DN203,1,0,NA,5,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,8.2,92,NA,0,0,D,20,2015
U213,SO,05/15/15,D05,DE103,DN203,0,0,NA,0,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,11.4,92,NA,0,0,D,20,2015
U207,SO,05/15/15,D05,DE103,DN203,0,0,NA,4,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,8.6,93,NA,0,0,D,20,2015
U127,SO,05/15/15,D05,DE103,DN203,1,0,NA,2,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,8.2,88,NA,0,0,D,20,2015
U200,SO,05/15/15,D05,DE103,DN203,0,0,NA,4,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,8,82,NA,0,0,D,20,2015
U232,SO,05/15/15,D05,DE103,DN203,1,0,NA,2,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,8.9,92,NA,0,0,D,20,2015
U209,SO,05/15/15,D05,DE103,DN203,3,0,NA,6,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,10.2,92,NA,0,0,D,20,2015
U215,SO,05/15/15,D05,DE103,DN203,0,0,NA,2,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,10.7,100,NA,0,0,D,20,2015
U4099,CU,05/16/15,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,24.4,NA,NA,0,0,D,20,2015
U4100,CU,05/16/15,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,8.5,97,NA,0,0,D,20,2015
U4126,CU,05/16/15,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,14.9,115,NA,0,0,D,20,2015
U4127,CU,05/16/15,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,15.2,113,NA,0,0,D,20,2015
U4128,CU,05/16/15,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,15.8,119,NA,0,0,D,20,2015
U4129,CU,05/16/15,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,7.8,92,NA,0,0,D,20,2015
U4130,CU,05/16/15,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,1,0,1,1,0,0,0,0,0,0,NA,lab_motiles,14.1,114,NA,2,0,D,20,2015
U4131,CU,05/16/15,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,14.8,118,NA,0,0,D,20,2015
U4132,CU,05/16/15,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,7.7,94,NA,0,0,D,20,2015
U4133,CU,05/16/15,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,18.9,128,NA,0,0,D,20,2015
U1393,PI,05/16/15,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,lab_finescale,8.3,NA,NA,0,0,D,20,2015
U1189,PI,05/16/15,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,lab_finescale,7.4,97,NA,0,0,D,20,2015
U4718,SO,05/16/15,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,10.6,107,NA,0,0,D,20,2015
U4719,SO,05/16/15,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,13.5,113,NA,0,0,D,20,2015
U4834,SO,05/16/15,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,8.5,100,NA,0,0,D,20,2015
U4835,SO,05/16/15,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,10.7,108,NA,0,0,D,20,2015
U4836,SO,05/16/15,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,13.4,110,NA,0,0,D,20,2015
U4837,SO,05/16/15,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,10.9,106,NA,0,0,D,20,2015
U4838,SO,05/16/15,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,9.6,101,NA,0,0,D,20,2015
U4874,SO,05/16/15,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,9.7,100,NA,0,0,D,20,2015
U4875,SO,05/16/15,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,9.9,104,NA,0,0,D,20,2015
U4876,SO,05/16/15,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,12.1,107,NA,0,0,D,20,2015
U297,SO,05/16/15,D06,DE106,DN206,1,0,NA,3,0,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA,lab_finescale,7.5,88,NA,1,0,D,20,2015
U296,SO,05/16/15,D06,DE106,DN206,0,0,NA,4,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,10.5,99,NA,0,0,D,20,2015
U304,SO,05/16/15,D06,DE106,DN206,0,0,NA,3,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,7.4,89,NA,0,0,D,20,2015
U306,SO,05/16/15,D06,DE106,DN206,1,0,NA,2,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,12.2,103,NA,0,0,D,20,2015
U316,SO,05/16/15,D06,DE106,DN206,0,0,NA,3,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,9.2,91,NA,0,0,D,20,2015
U321,SO,05/16/15,D06,DE106,DN206,0,0,NA,5,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,11.7,104,NA,0,0,D,20,2015
U298,SO,05/16/15,D06,DE106,DN206,1,0,NA,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,11.7,101,NA,0,0,D,20,2015
U315,SO,05/16/15,D06,DE106,DN206,0,0,NA,3,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,18.4,120,NA,0,0,D,20,2015
U305,SO,05/16/15,D06,DE106,DN206,0,0,NA,4,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,13.2,108,NA,0,0,D,20,2015
U2635,CU,05/16/15,D07,DE107,DN207,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA,lab_motiles,14.9,NA,NA,1,0,D,20,2015
U2827,CU,05/16/15,D07,DE107,DN207,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,0,0,0,0,0,NA,lab_motiles,14.6,114,NA,1,0,D,20,2015
U2828,CU,05/16/15,D07,DE107,DN207,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,0,0,0,0,0,NA,lab_motiles,17.9,122,NA,1,0,D,20,2015
U2830,CU,05/16/15,D07,DE107,DN207,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,10.7,101,NA,0,0,D,20,2015
U2912,CU,05/16/15,D07,DE107,DN207,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,7.1,90,NA,0,0,D,20,2015
U1396,PI,05/16/15,D07,DE107,DN207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,lab_finescale,7.4,86,NA,0,0,D,20,2015
U312,SO,05/16/15,D07,DE107,DN207,1,0,NA,3,6,NA,0,0,0,0,0,0,1,0,0,0,0,0,NA,lab_finescale,12.9,109,NA,0,1,D,20,2015
U292,SO,05/16/15,D07,DE107,DN207,1,0,NA,2,4,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA,lab_finescale,22.5,128,NA,1,0,D,20,2015
U302,SO,05/16/15,D07,DE107,DN207,0,0,NA,3,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,9,100,NA,0,0,D,20,2015
U295,SO,05/16/15,D07,DE107,DN207,0,0,NA,4,3,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA,lab_finescale,11,101,NA,1,0,D,20,2015
U294,SO,05/16/15,D07,DE107,DN207,1,0,NA,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,10.8,103,NA,0,0,D,20,2015
U293,SO,05/16/15,D07,DE107,DN207,0,0,NA,5,0,NA,1,0,1,0,2,0,0,0,0,0,0,0,NA,lab_finescale,10.8,95,NA,2,0,D,20,2015
U301,SO,05/16/15,D07,DE107,DN207,1,0,NA,2,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,16,116,NA,0,0,D,20,2015
U303,SO,05/16/15,D07,DE107,DN207,0,0,NA,3,2,NA,1,1,0,0,2,0,0,0,0,0,0,0,NA,lab_finescale,9.3,94,NA,2,0,D,20,2015
U311,SO,05/16/15,D07,DE107,DN207,0,0,NA,5,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,12.7,104,NA,0,0,D,20,2015
U313,SO,05/16/15,D07,DE107,DN207,1,0,NA,3,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,10.6,99,NA,0,0,D,20,2015
U522,SO,05/17/15,D02,DE108,DN208,0,0,NA,1,1,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA,lab_finescale,7.9,88,NA,1,0,D,20,2015
U510,SO,05/17/15,D02,DE108,DN208,0,0,NA,3,6,NA,0,1,0,0,1,1,0,0,0,0,0,0,NA,lab_finescale,11.1,95,NA,2,0,D,20,2015
U520,SO,05/17/15,D02,DE108,DN208,0,0,NA,5,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,5.9,82,NA,0,0,D,20,2015
U460,SO,05/17/15,D02,DE108,DN208,0,0,NA,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,8.1,96,NA,0,0,D,20,2015
U531,SO,05/17/15,D02,DE108,DN208,1,0,NA,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,8.7,91,NA,0,0,D,20,2015
U541,SO,05/17/15,D02,DE108,DN208,1,0,NA,6,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,5.8,79,NA,0,0,D,20,2015
U521,SO,05/17/15,D02,DE108,DN208,0,0,NA,3,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,8.2,86,NA,0,0,D,20,2015
U542,SO,05/17/15,D02,DE108,DN208,0,0,NA,6,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,9.1,93,NA,0,0,D,20,2015
U457,SO,05/18/15,D03,DE109,DN209,1,0,NA,8,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,12.8,106,NA,0,0,D,21,2015
U516,SO,05/18/15,D03,DE109,DN209,2,0,NA,4,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,10.5,96,NA,0,0,D,21,2015
U507,SO,05/18/15,D03,DE109,DN209,1,0,NA,6,3,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA,lab_finescale,9.1,96,NA,1,0,D,21,2015
U519,SO,05/18/15,D03,DE109,DN209,0,0,NA,4,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,11,102,NA,0,0,D,21,2015
U518,SO,05/18/15,D03,DE109,DN209,0,0,NA,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,12,107,NA,0,0,D,21,2015
U508,SO,05/18/15,D03,DE109,DN209,2,0,NA,6,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,10.3,100,NA,0,0,D,21,2015
U459,SO,05/18/15,D03,DE109,DN209,2,0,NA,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,7.4,88,NA,0,0,D,21,2015
U458,SO,05/18/15,D03,DE109,DN209,3,0,NA,8,5,NA,0,0,0,0,0,1,0,0,0,0,0,0,NA,lab_finescale,10.8,102,NA,1,0,D,21,2015
U517,SO,05/18/15,D03,DE109,DN209,0,0,NA,0,2,NA,0,1,0,0,1,0,0,0,0,0,0,0,NA,lab_finescale,7.3,84,NA,1,0,D,21,2015
U509,SO,05/18/15,D03,DE109,DN209,2,0,NA,4,4,NA,1,0,0,1,2,0,0,0,0,0,0,0,Cal mot UNID missing posterior end,lab_finescale,14.1,109,NA,2,0,D,21,2015
U368,SO,05/18/15,D05,DE110,DN210,2,0,NA,6,4,NA,2,1,0,0,3,0,0,0,0,0,0,0,NA,lab_finescale,9.1,94,NA,3,0,D,21,2015
U369,SO,05/18/15,D05,DE110,DN210,1,0,NA,4,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,10.4,100,NA,0,0,D,21,2015
U383,SO,05/18/15,D05,DE110,DN210,0,0,NA,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,NA,97,NA,0,0,D,21,2015
U370,SO,05/18/15,D05,DE110,DN210,0,0,NA,2,2,NA,2,0,0,0,2,0,0,0,0,0,0,0,NA,lab_finescale,12.1,97,NA,2,0,D,21,2015
U382,SO,05/18/15,D05,DE110,DN210,1,0,NA,2,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,10.4,102,NA,0,0,D,21,2015
U381,SO,05/18/15,D05,DE110,DN210,0,0,NA,4,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,6.7,86,NA,0,0,D,21,2015
U4171,CU,05/19/15,D08,DE111,DN211,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,16.5,118,NA,0,0,D,21,2015
U4172,CU,05/19/15,D08,DE111,DN211,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,16.4,120,NA,0,0,D,21,2015
U4972,CU,05/19/15,D08,DE111,DN211,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,12.9,107,NA,0,0,D,21,2015
U4973,CU,05/19/15,D08,DE111,DN211,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,13.4,109,NA,0,0,D,21,2015
U4974,CU,05/19/15,D08,DE111,DN211,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,12.8,108,NA,0,0,D,21,2015
U4975,CU,05/19/15,D08,DE111,DN211,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA,lab_motiles,NA,120,NA,1,0,D,21,2015
U4976,CU,05/19/15,D08,DE111,DN211,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,15.8,114,NA,0,0,D,21,2015
U4977,CU,05/19/15,D08,DE111,DN211,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,16.1,116,NA,0,0,D,21,2015
U4978,CU,05/19/15,D08,DE111,DN211,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,NA,lab_motiles,7.2,89,NA,0,1,D,21,2015
U4704,SO,05/19/15,D08,DE111,DN211,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,7.4,97,NA,0,0,D,21,2015
U4705,SO,05/19/15,D08,DE111,DN211,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,7.7,95,NA,0,0,D,21,2015
U4706,SO,05/19/15,D08,DE111,DN211,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,7.4,94,NA,0,0,D,21,2015
U4750,SO,05/19/15,D08,DE111,DN211,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,20,127,NA,0,0,D,21,2015
